norad_id,name,object_type,satellite_constellation,altitude_km,altitude_category,orbital_band,congestion_risk,inclination,eccentricity,launch_year_estimate,days_in_orbit_estimate,orbit_lifetime_category,mean_motion,epoch,data_source,snapshot_date,country,last_seen
59545,STARLINK-31582,PAYLOAD,Starlink Gen 1,482.9977192959868,Very Low LEO,LEO-Equatorial,HIGH,43.0007,0.00015324,2023,0,<1yr,15.27597158,2025-11-11 05:29:39.075936,celestrak,2025-11-11,US,2025-11-11
59546,STARLINK-31519,PAYLOAD,Starlink Gen 1,482.99114081865537,Very Low LEO,LEO-Equatorial,HIGH,43.0017,8.858e-05,2023,0,<1yr,15.27599355,2025-11-11 05:49:47.683200,celestrak,2025-11-11,US,2025-11-11
59547,STARLINK-31736,PAYLOAD,Starlink Gen 1,483.11202622559904,Very Low LEO,LEO-Equatorial,HIGH,43.0029,0.00010253,2023,0,<1yr,15.27558984,2025-11-11 00:09:44.476128,celestrak,2025-11-11,US,2025-11-11
59548,STARLINK-31675,PAYLOAD,Starlink Gen 1,483.07013149749764,Very Low LEO,LEO-Equatorial,HIGH,43.0044,0.00011978,2023,0,<1yr,15.27572975,2025-11-10 23:55:22.873728,celestrak,2025-11-11,US,2025-11-11
59549,STARLINK-31722,PAYLOAD,Starlink Gen 1,483.0006507208682,Very Low LEO,LEO-Equatorial,HIGH,42.9981,5.23e-05,2023,0,<1yr,15.27596179,2025-11-11 07:18:24.177600,celestrak,2025-11-11,US,2025-11-11
59550,STARLINK-31741,PAYLOAD,Starlink Gen 1,482.99706054925264,Very Low LEO,LEO-Equatorial,HIGH,42.9996,6.276e-05,2023,0,<1yr,15.27597378,2025-11-11 05:55:20.347392,celestrak,2025-11-11,US,2025-11-11
59551,STARLINK-31699,PAYLOAD,Starlink Gen 1,482.9992913058768,Very Low LEO,LEO-Equatorial,HIGH,43.0042,6.886e-05,2023,0,<1yr,15.27596633,2025-11-11 06:15:41.918112,celestrak,2025-11-11,US,2025-11-11
59552,STARLINK-31750,PAYLOAD,Starlink Gen 1,483.0230691881343,Very Low LEO,LEO-Equatorial,HIGH,43.0029,0.00012973,2023,0,<1yr,15.27588692,2025-11-11 04:58:11.093376,celestrak,2025-11-11,US,2025-11-11
59553,STARLINK-31723,PAYLOAD,Starlink Gen 1,483.0115470252804,Very Low LEO,LEO-Equatorial,HIGH,43.0024,4.411e-05,2023,0,<1yr,15.2759254,2025-11-11 00:10:10.517952,celestrak,2025-11-11,US,2025-11-11
59554,STARLINK-31724,PAYLOAD,Starlink Gen 1,482.95602692804096,Very Low LEO,LEO-Equatorial,HIGH,43.0009,0.00015881,2023,0,<1yr,15.27611082,2025-11-11 06:29:42.490752,celestrak,2025-11-11,US,2025-11-11
59555,STARLINK-31730,PAYLOAD,Starlink Gen 1,483.03071672106034,Very Low LEO,LEO-Equatorial,HIGH,43.0017,6.079e-05,2023,0,<1yr,15.27586138,2025-11-11 07:09:21.452544,celestrak,2025-11-11,US,2025-11-11
59556,STARLINK-31718,PAYLOAD,Starlink Gen 1,483.041876647796,Very Low LEO,LEO-Equatorial,HIGH,43.0015,0.0001191,2023,0,<1yr,15.27582411,2025-11-11 00:36:05.574528,celestrak,2025-11-11,US,2025-11-11
59557,YAOGAN-42 02,PAYLOAD,Other,496.2641715774962,Very Low LEO,LEO-Equatorial,HIGH,34.9989,0.00074186,2023,0,<1yr,15.23177279,2025-11-11 03:34:47.195040,celestrak,2025-11-11,PRC,2025-11-11
59564,STARLINK-31747,PAYLOAD,Starlink Gen 1,482.99685094805227,Very Low LEO,LEO-Equatorial,HIGH,43.0007,0.00018042,2023,0,<1yr,15.27597448,2025-11-11 01:39:58.281984,celestrak,2025-11-11,US,2025-11-11
59565,STARLINK-31388,PAYLOAD,Starlink Gen 1,483.0027886568223,Very Low LEO,LEO-Equatorial,HIGH,43.0008,0.00016022,2023,0,<1yr,15.27595465,2025-11-11 07:08:27.250368,celestrak,2025-11-11,US,2025-11-11
59566,STARLINK-31332,PAYLOAD,Starlink Gen 1,483.0734911969421,Very Low LEO,LEO-Equatorial,HIGH,43.0047,0.00012779,2023,0,<1yr,15.27571853,2025-11-11 01:37:52.653792,celestrak,2025-11-11,US,2025-11-11
59567,STARLINK-31689,PAYLOAD,Starlink Gen 1,483.03162101179805,Very Low LEO,LEO-Equatorial,HIGH,42.9984,4.487e-05,2023,0,<1yr,15.27585836,2025-11-11 00:43:16.958496,celestrak,2025-11-11,US,2025-11-11
59568,STARLINK-31471,PAYLOAD,Starlink Gen 1,482.9401753708771,Very Low LEO,LEO-Equatorial,HIGH,43.007,0.00014102,2023,0,<1yr,15.27616376,2025-11-11 01:47:07.220832,celestrak,2025-11-11,US,2025-11-11
59569,STARLINK-31470,PAYLOAD,Starlink Gen 1,483.0088910658069,Very Low LEO,LEO-Equatorial,HIGH,43.0016,8.008e-05,2023,0,<1yr,15.27593427,2025-11-11 06:50:38.169600,celestrak,2025-11-11,US,2025-11-11
59570,STARLINK-31587,PAYLOAD,Starlink Gen 1,483.0497757593994,Very Low LEO,LEO-Equatorial,HIGH,43.0013,0.00012975,2023,0,<1yr,15.27579773,2025-11-11 07:02:54.088512,celestrak,2025-11-11,US,2025-11-11
59571,STARLINK-31606,PAYLOAD,Starlink Gen 1,483.22177721560183,Very Low LEO,LEO-Equatorial,HIGH,43.0023,0.00010588,2023,0,<1yr,15.27522333,2025-11-11 08:00:03.000384,celestrak,2025-11-11,US,2025-11-11
59572,STARLINK-31666,PAYLOAD,Starlink Gen 1,483.05214729393265,Very Low LEO,LEO-Equatorial,HIGH,43.0025,0.00013595,2023,0,<1yr,15.27578981,2025-11-11 01:59:36.752064,celestrak,2025-11-11,US,2025-11-11
59573,STARLINK-31683,PAYLOAD,Starlink Gen 1,483.059106202546,Very Low LEO,LEO-Equatorial,HIGH,43.0025,0.00014928,2023,0,<1yr,15.27576657,2025-11-11 01:48:59.145984,celestrak,2025-11-11,US,2025-11-11
59574,STARLINK-31751,PAYLOAD,Starlink Gen 1,483.032962476751,Very Low LEO,LEO-Equatorial,HIGH,43.0017,7.993e-05,2023,0,<1yr,15.27585388,2025-11-11 01:02:56.548320,celestrak,2025-11-11,US,2025-11-11
59575,STARLINK-31510,PAYLOAD,Starlink Gen 1,482.99605446363785,Very Low LEO,LEO-Equatorial,HIGH,43.0031,0.00014479,2023,0,<1yr,15.27597714,2025-11-11 06:54:19.919520,celestrak,2025-11-11,US,2025-11-11
